CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,ORIG_FID,MBG_Width,MBG_Length,MBG_APodX1,MBG_APodY1,MBG_APodX2,MBG_APodY2,MBG_Orientation,Shape_Length,Shape_Area
122,12020,12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",M1,1,G3110,2654601832.000000000000000,26140309.000000000000000,+33.9439840,-083.2138965,1,0.581296043451441,0.869951154231042,-83.647030999780782,33.906197999638039,-82.779506000001845,33.971123999872759,85.719934634804588,2.224853152229288,0.341520716565569
122,12060,12060,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1,1,G3110,22494938651.000000000000000,387716575.000000000000000,+33.6937280,-084.3999113,2,1.694257260729393,2.149299638317696,-85.386581000013109,33.901718999931973,-83.269218000310445,33.532581000312973,99.889469351096295,5.991727010844072,2.652155583745106
428,12100,12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",M1,1,G3110,1438776649.000000000000000,301268696.000000000000000,+39.4693555,-074.6337591,3,0.422448187628643,0.754258159321794,-74.985270999956640,39.514966999827209,-74.232062000061205,39.475197999588090,93.022377582982230,1.831845146704771,0.207004182404358
426,12120,12120,"Atmore, AL","Atmore, AL Micro Area",M2,2,G3110,2448115116.000000000000000,20504948.000000000000000,+31.1222867,-087.1684097,4,0.267074036134149,0.960659759203196,-87.615890000023455,31.244458000436396,-86.688317000129416,30.994506999598400,105.081147234711210,2.319170552283756,0.240851787610441
258,12140,12140,"Auburn, IN","Auburn, IN Micro Area",M2,2,G3110,939731962.000000000000000,2657419.000000000000000,+41.4011894,-085.0001854,5,0.262232856754034,0.469893913083025,-85.192094000137956,41.264209000045355,-84.804686999805142,41.530134000084104,55.533407870492915,1.299118598350228,0.101783371780072
532,12180,12180,"Auburn, NY","Auburn, NY Micro Area",M2,2,G3110,1791190510.000000000000000,445708165.000000000000000,+43.0085456,-076.5745866,6,0.446239066304039,1.181653547898514,-76.734725000058688,43.708121000383926,-76.265583999601859,42.623587999986285,156.607936006033924,2.754616564885825,0.335647299303382
194,12220,12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",M1,1,G3110,1573514768.000000000000000,21526461.000000000000000,+32.6040644,-085.3530477,7,0.335159461429398,0.720498432929016,-85.696755000043197,32.697428999648650,-85.001020000272774,32.510156999745789,105.065319170851012,1.727192775257363,0.180203731313022
 ,12260,12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",M1,1,G3110,9015028913.000000000000000,262514053.000000000000000,+33.4603713,-081.9828327,8,1.176023587485023,1.495399965067508,-82.645450999963657,33.984195000099248,-81.187238000033631,33.652779999897120,102.804376460890595,4.286432558832290,1.228116072334136
 ,12300,12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",M2,2,G3110,2246734973.000000000000000,216795650.000000000000000,+44.4170119,-069.7657639,9,0.551149107410666,0.813746615228787,-70.027385999664091,44.130577000028609,-69.393123000026378,44.640375000306051,51.208919303210273,2.198172039839381,0.339438411582230
462,12380,12380,"Austin, MN","Austin, MN Micro Area",M2,2,G3110,1842332264.000000000000000,617235.000000000000000,+43.6662486,-092.7595136,10,0.349242050419566,0.694106905422090,-93.049523999732742,43.848442999844622,-92.448947999550512,43.500458999982925,120.088735704305165,1.883652287070833,0.207769116116421
 ,12420,12420,"Austin-Round Rock-Georgetown, TX","Austin-Round Rock-Georgetown, TX Metro Area",M1,1,G3110,10935038512.000000000000000,150326847.000000000000000,+30.2395128,-097.6912697,11,1.174436764002069,1.296178247888111,-97.828511999629029,30.906187999776421,-97.597743000239234,29.630718000435422,169.744499595671442,3.863560834681537,1.093231603661143
 ,12460,12460,"Bainbridge, GA","Bainbridge, GA Micro Area",M2,2,G3110,1546667779.000000000000000,67329698.000000000000000,+30.8806431,-084.5838902,12,0.388844911812830,0.609941153043340,-84.863464999809878,30.711494000247967,-84.376573000043891,31.078869000404097,52.964322840071084,1.615958939154381,0.163655348273307
 ,12540,12540,"Bakersfield, CA","Bakersfield, CA Metro Area",M1,1,G3110,21062540828.000000000000000,78680980.000000000000000,+35.3466288,-118.7295064,13,1.003751813779717,2.738520972547429,-120.194145999638124,35.789203999964684,-117.632011000007594,34.822269999760749,110.676198319317436,6.584744089886414,2.203645405291332
548,12580,12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",M1,1,G3110,6737876069.000000000000000,1304109791.000000000000000,+39.3043610,-076.5495009,14,1.010313596316464,1.640470791519902,-77.311437999663895,39.639381000432877,-75.747760999770264,39.143338000448409,107.600513934738657,4.072090568932821,1.079451643804903
 ,12620,12620,"Bangor, ME","Bangor, ME Metro Area",M1,1,G3110,8798699751.000000000000000,413983068.000000000000000,+45.4092843,-068.6666160,15,1.239059216537292,1.891936972242513,-69.183731999931808,44.644023000361244,-68.436442999644669,46.382121000184043,23.265113558011194,4.982504378968304,1.636596693690479
357,12660,12660,"Baraboo, WI","Baraboo, WI Micro Area",M2,2,G3110,2153685971.000000000000000,45692999.000000000000000,+43.4280010,-089.9433184,16,0.496583299071832,0.757791149271119,-90.312404000244385,43.640987999996241,-89.600730000189344,43.380666000235749,110.091926793153462,2.068791268776813,0.281863972076778
350,12680,12680,"Bardstown, KY","Bardstown, KY Micro Area",M2,2,G3110,1081366442.000000000000000,16985926.000000000000000,+37.8031198,-085.4659312,17,0.336694003587825,0.627837423251023,-85.624195000298982,37.540631000220515,-85.167834000138953,37.971809000085329,46.625272362349165,1.627735958618075,0.159190832803634
148,12700,12700,"Barnstable Town, MA","Barnstable Town, MA Metro Area",M1,1,G3110,1021019039.000000000000000,2360316945.000000000000000,+41.7990145,-070.2118803,18,0.665160809358063,0.930885357003400,-70.758463999713797,41.560931000265498,-69.909178000164559,41.942061999861437,65.831060594715865,2.506826860818438,0.426341690228816
