cbsa_code,cbsa,city,latitude,longitude
10100,"Aberdeen, SD","Aberdeen, SD",45.4647,-98.4865
10140,"Aberdeen, WA","Aberdeen, WA",46.9754,-123.8157
10180,"Abilene, TX","Abilene, TX",32.4487,-99.7331
10220,"Ada, OK","Ada, OK",34.7745,-96.6783
10300,"Adrian, MI","Adrian, MI",41.8975,-84.0372
10380,"Aguadilla-Isabela, PR","Aguadilla, PR",18.4274,-67.1541
10420,"Akron, OH","Akron, OH",41.0814,-81.519
10460,"Alamogordo, NM","Alamogordo, NM",32.8995,-105.9603
10500,"Albany, GA","Albany, GA",31.5785,-84.1557
10540,"Albany-Lebanon, OR","Albany, OR",44.6365,-123.1059
10580,"Albany-Schenectady-Troy, NY","Albany, NY",42.6526,-73.7562
10620,"Albemarle, NC","Albemarle, NC",35.3507,-80.2001
10660,"Albert Lea, MN","Albert Lea, MN",43.6476,-93.3683
10700,"Albertville, AL","Albertville, AL",34.2676,-86.2089
10740,"Albuquerque, NM","Albuquerque, NM",35.0844,-106.6504
10760,"Alexander City, AL","Alexander City, AL",32.944,-85.9539
10780,"Alexandria, LA","Alexandria, LA",31.3113,-92.4451
10820,"Alexandria, MN","Alexandria, MN",45.8848,-95.3777
10860,"Alice, TX","Alice, TX",27.7523,-98.0697
10900,"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA",40.6023,-75.4714
10940,"Alma, MI","Alma, MI",43.3781,-84.6592
10980,"Alpena, MI","Alpena, MI",45.0617,-83.4327
11020,"Altoona, PA","Altoona, PA",40.5187,-78.3947
11060,"Altus, OK","Altus, OK",34.6381,-99.3339
11100,"Amarillo, TX","Amarillo, TX",35.221,-101.8313
11140,"Americus, GA","Americus, GA",32.0724,-84.2327
11180,"Ames, IA","Ames, IA",42.0347,-93.6199
11220,"Amsterdam, NY","Amsterdam, NY",42.9387,-74.1904
11260,"Anchorage, AK","Anchorage, AK",61.2181,-149.9003
11380,"Andrews, TX","Andrews, TX",32.3187,-102.5454
11420,"Angola, IN","Angola, IN",41.6345,-85.0005
11460,"Ann Arbor, MI","Ann Arbor, MI",42.2808,-83.743
11500,"Anniston-Oxford, AL","Anniston, AL",33.6598,-85.8316
11540,"Appleton, WI","Appleton, WI",44.2619,-88.4154
11580,"Arcadia, FL","Arcadia, FL",27.2159,-81.8584
11620,"Ardmore, OK","Ardmore, OK",34.1743,-97.1436
11640,"Arecibo, PR","Arecibo, PR",18.4724,-66.7158
11660,"Arkadelphia, AR","Arkadelphia, AR",34.1209,-93.0538
11700,"Asheville, NC","Asheville, NC",35.5951,-82.5515
11740,"Ashland, OH","Ashland, OH",40.867,-82.3153
11780,"Ashtabula, OH","Ashtabula, OH",41.8651,-80.7898
11820,"Astoria, OR","Astoria, OR",46.1879,-123.8313
11860,"Atchison, KS","Atchison, KS",39.5638,-95.1211
11900,"Athens, OH","Athens, OH",39.3292,-82.1013
11940,"Athens, TN","Athens, TN",35.442,-84.5923
11980,"Athens, TX","Athens, TX",32.2049,-95.8555
12020,"Athens-Clarke County, GA","Athens, GA",33.9519,-83.3576
12060,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta, GA",33.749,-84.388
12100,"Atlantic City-Hammonton, NJ","Atlantic City, NJ",39.3643,-74.4229
12120,"Atmore, AL","Atmore, AL",31.0235,-87.4931
12140,"Auburn, IN","Auburn, IN",41.3664,-85.058
12180,"Auburn, NY","Auburn, NY",42.9317,-76.5661
12220,"Auburn-Opelika, AL","Auburn, AL",32.6099,-85.4808
12260,"Augusta-Richmond County, GA-SC","Augusta, GA",33.4735,-82.0105
12300,"Augusta-Waterville, ME","Augusta, ME",44.3106,-69.7795
12380,"Austin, MN","Austin, MN",43.6666,-92.9746
12420,"Austin-Round Rock-Georgetown, TX","Austin, TX",30.2672,-97.7431
12460,"Bainbridge, GA","Bainbridge, GA",30.9033,-84.5811
12540,"Bakersfield, CA","Bakersfield, CA",35.3733,-119.0187
12580,"Baltimore-Columbia-Towson, MD","Baltimore, MD",39.2904,-76.6122
12620,"Bangor, ME","Bangor, ME",44.8012,-68.7778
12660,"Baraboo, WI","Baraboo, WI",43.4715,-89.7443
12680,"Bardstown, KY","Bardstown, KY",37.8092,-85.4669
12700,"Barnstable Town, MA","Barnstable Town, MA",41.7003,-70.3002
12740,"Barre, VT","Barre, VT",44.197,-72.5027
12780,"Bartlesville, OK","Bartlesville, OK",36.7473,-95.9808
12860,"Batavia, NY","Batavia, NY",42.9981,-78.1875
12900,"Batesville, AR","Batesville, AR",35.7698,-91.6404
12940,"Baton Rouge, LA","Baton Rouge, LA",30.4515,-91.1871
12980,"Battle Creek, MI","Battle Creek, MI",42.3212,-85.1797
13020,"Bay City, MI","Bay City, MI",43.5945,-83.8889
13060,"Bay City, TX","Bay City, TX",28.9828,-95.9694
13100,"Beatrice, NE","Beatrice, NE",40.265,-96.7467
13140,"Beaumont-Port Arthur, TX","Beaumont, TX",30.0802,-94.1266
13180,"Beaver Dam, WI","Beaver Dam, WI",43.4576,-88.8379
13220,"Beckley, WV","Beckley, WV",37.7782,-81.1882
13260,"Bedford, IN","Bedford, IN",38.8614,-86.4872
13300,"Beeville, TX","Beeville, TX",28.4006,-97.7483
13340,"Bellefontaine, OH","Bellefontaine, OH",40.3614,-83.7597
13380,"Bellingham, WA","Bellingham, WA",48.7519,-122.4787
13420,"Bemidji, MN","Bemidji, MN",47.4736,-94.8803
13460,"Bend, OR","Bend, OR",44.0582,-121.3153
13500,"Bennettsville, SC","Bennettsville, SC",34.6179,-79.6842
13540,"Bennington, VT","Bennington, VT",42.8781,-73.1968
13620,"Berlin, NH","Berlin, NH",44.4681,-71.1851
13660,"Big Rapids, MI","Big Rapids, MI",43.6989,-85.4832
13700,"Big Spring, TX","Big Spring, TX",32.2504,-101.4787
13720,"Big Stone Gap, VA","Big Stone Gap, VA",36.8637,-82.7749
13740,"Billings, MT","Billings, MT",45.7833,-108.5007
13780,"Binghamton, NY","Binghamton, NY",42.0987,-75.918
13820,"Birmingham-Hoover, AL","Birmingham, AL",33.5186,-86.8104
13900,"Bismarck, ND","Bismarck, ND",46.8083,-100.7837
13940,"Blackfoot, ID","Blackfoot, ID",43.1905,-112.3447
13980,"Blacksburg-Christiansburg, VA","Blacksburg, VA",37.2296,-80.4139
14010,"Bloomington, IL","Bloomington, IL",40.4842,-88.9937
14020,"Bloomington, IN","Bloomington, IN",39.1653,-86.5264
14100,"Bloomsburg-Berwick, PA","Bloomsburg, PA",41.0026,-76.4536
14140,"Bluefield, WV-VA","Bluefield, WV",37.2698,-81.2223
14160,"Bluffton, IN","Bluffton, IN",40.7387,-85.1711
14180,"Blytheville, AR","Blytheville, AR",35.9276,-89.9184
14220,"Bogalusa, LA","Bogalusa, LA",30.7913,-89.8487
14260,"Boise City, ID","Boise City, ID",43.615,-116.2023
14300,"Bonham, TX","Bonham, TX",33.5773,-96.1788
14380,"Boone, NC","Boone, NC",36.2168,-81.6746
14420,"Borger, TX","Borger, TX",35.667,-101.3971
14460,"Boston-Cambridge-Newton, MA-NH","Boston, MA",42.3601,-71.0589
14500,"Boulder, CO","Boulder, CO",40.015,-105.2705
14540,"Bowling Green, KY","Bowling Green, KY",36.9685,-86.4808
14580,"Bozeman, MT","Bozeman, MT",45.677,-111.0429
14620,"Bradford, PA","Bradford, PA",41.955,-78.6498
14660,"Brainerd, MN","Brainerd, MN",46.3556,-94.202
14700,"Branson, MO","Branson, MO",36.6437,-93.2185
14720,"Breckenridge, CO","Breckenridge, CO",39.4817,-106.0384
14740,"Bremerton-Silverdale-Port Orchard, WA","Bremerton, WA",47.5673,-122.6326
14780,"Brenham, TX","Brenham, TX",30.1669,-96.3977
14820,"Brevard, NC","Brevard, NC",35.2335,-82.7343
14860,"Bridgeport-Stamford-Norwalk, CT","Bridgeport, CT",41.1792,-73.1894
15020,"Brookhaven, MS","Brookhaven, MS",31.5791,-90.4401
15060,"Brookings, OR","Brookings, OR",42.0526,-124.28
15100,"Brookings, SD","Brookings, SD",44.3114,-96.7984
15140,"Brownsville, TN","Brownsville, TN",35.5934,-89.2626
15180,"Brownsville-Harlingen, TX","Brownsville, TX",25.9017,-97.4975
15220,"Brownwood, TX","Brownwood, TX",31.7093,-98.9912
15260,"Brunswick, GA","Brunswick, GA",31.1499,-81.4915
15340,"Bucyrus-Galion, OH","Bucyrus, OH",40.8087,-82.9741
15380,"Buffalo-Cheektowaga, NY","Buffalo, NY",42.8864,-78.8784
15420,"Burley, ID","Burley, ID",42.535,-113.7922
15460,"Burlington, IA-IL","Burlington, IA",40.8076,-91.1129
15500,"Burlington, NC","Burlington, NC",36.0957,-79.4378
15540,"Burlington-South Burlington, VT","Burlington, VT",44.4759,-73.2121
15580,"Butte-Silver Bow, MT","Butte, MT",46.0038,-112.5348
15620,"Cadillac, MI","Cadillac, MI",44.2511,-85.4012
15660,"Calhoun, GA","Calhoun, GA",34.5026,-84.9511
15680,"California-Lexington Park, MD","California, MD",38.3006,-76.5072
15700,"Cambridge, MD","Cambridge, MD",38.5632,-76.0788
15740,"Cambridge, OH","Cambridge, OH",40.0312,-81.5885
15780,"Camden, AR","Camden, AR",33.5843,-92.8346
15820,"Campbellsville, KY","Campbellsville, KY",37.3434,-85.3419
15860,"Cañon City, CO","Cañon City, CO",38.4407,-105.2425
15940,"Canton-Massillon, OH","Canton, OH",40.7989,-81.3784
15980,"Cape Coral-Fort Myers, FL","Cape Coral, FL",26.5629,-81.9495
16020,"Cape Girardeau, MO-IL","Cape Girardeau, MO",37.3059,-89.5181
16060,"Carbondale-Marion, IL","Carbondale, IL",37.7273,-89.2168
16100,"Carlsbad-Artesia, NM","Carlsbad, NM",32.4207,-104.2288
16140,"Carroll, IA","Carroll, IA",42.0656,-94.8672
16180,"Carson City, NV","Carson City, NV",39.1638,-119.7674
16220,"Casper, WY","Casper, WY",42.8501,-106.3252
16260,"Cedar City, UT","Cedar City, UT",37.6775,-113.0619
16300,"Cedar Rapids, IA","Cedar Rapids, IA",41.9779,-91.6656
16340,"Cedartown, GA","Cedartown, GA",34.0112,-85.2572
16380,"Celina, OH","Celina, OH",40.5489,-84.5708
16420,"Central City, KY","Central City, KY",37.2934,-87.1289
16460,"Centralia, IL","Centralia, IL",38.5264,-89.1334
16500,"Centralia, WA","Centralia, WA",46.7164,-122.9543
16540,"Chambersburg-Waynesboro, PA","Chambersburg, PA",39.9376,-77.6611
16580,"Champaign-Urbana, IL","Champaign, IL",40.1164,-88.2434
16620,"Charleston, WV","Charleston, WV",38.3498,-81.6326
16660,"Charleston-Mattoon, IL","Charleston, IL",39.4961,-88.1762
16700,"Charleston-North Charleston, SC","Charleston, SC",32.7765,-79.9311
16740,"Charlotte-Concord-Gastonia, NC-SC","Charlotte, NC",35.2271,-80.8431
16820,"Charlottesville, VA","Charlottesville, VA",38.0293,-78.4767
16860,"Chattanooga, TN-GA","Chattanooga, TN",35.0456,-85.3097
16940,"Cheyenne, WY","Cheyenne, WY",41.1391,-104.8202
16980,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",41.8781,-87.6298
17020,"Chico, CA","Chico, CA",39.7285,-121.8375
17060,"Chillicothe, OH","Chillicothe, OH",39.3331,-82.9824
17140,"Cincinnati, OH-KY-IN","Cincinnati, OH",39.1031,-84.512
17220,"Clarksburg, WV","Clarksburg, WV",39.2806,-80.3445
17260,"Clarksdale, MS","Clarksdale, MS",34.2001,-90.5704
17300,"Clarksville, TN-KY","Clarksville, TN",36.5298,-87.3595
17340,"Clearlake, CA","Clearlake, CA",38.9582,-122.6264
17380,"Cleveland, MS","Cleveland, MS",33.7448,-90.724
17420,"Cleveland, TN","Cleveland, TN",35.1595,-84.8766
17460,"Cleveland-Elyria, OH","Cleveland, OH",41.4993,-81.6944
17500,"Clewiston, FL","Clewiston, FL",26.7542,-80.9333
17540,"Clinton, IA","Clinton, IA",41.844,-90.1887
17580,"Clovis, NM","Clovis, NM",34.4048,-103.2052
17620,"Coamo, PR","Coamo, PR",18.0807,-66.3639
17640,"Coco, PR","Coco, PR",18.3995,-65.955
17660,"Coeur d'Alene, ID","Coeur d'Alene, ID",47.6777,-116.7805
17700,"Coffeyville, KS","Coffeyville, KS",37.0379,-95.6264
17740,"Coldwater, MI","Coldwater, MI",41.9403,-85.0005
17780,"College Station-Bryan, TX","College Station, TX",30.628,-96.3344
17820,"Colorado Springs, CO","Colorado Springs, CO",38.8339,-104.8214
17860,"Columbia, MO","Columbia, MO",38.9517,-92.3341
17900,"Columbia, SC","Columbia, SC",34.0007,-81.0348
17980,"Columbus, GA-AL","Columbus, GA",32.4608,-84.9877
18020,"Columbus, IN","Columbus, IN",39.2014,-85.9214
18060,"Columbus, MS","Columbus, MS",33.4957,-88.4273
18100,"Columbus, NE","Columbus, NE",41.4299,-97.3684
18140,"Columbus, OH","Columbus, OH",39.9612,-82.9988
18180,"Concord, NH","Concord, NH",43.2081,-71.5376
18220,"Connersville, IN","Connersville, IN",39.6412,-85.1411
18260,"Cookeville, TN","Cookeville, TN",36.1628,-85.5016
18300,"Coos Bay, OR","Coos Bay, OR",43.3665,-124.2179
18380,"Cordele, GA","Cordele, GA",31.9635,-83.7702
18420,"Corinth, MS","Corinth, MS",34.934,-88.5223
18460,"Cornelia, GA","Cornelia, GA",34.5118,-83.5304
18500,"Corning, NY","Corning, NY",42.1429,-77.0547
18580,"Corpus Christi, TX","Corpus Christi, TX",27.8006,-97.3964
18620,"Corsicana, TX","Corsicana, TX",32.0954,-96.4689
18660,"Cortland, NY","Cortland, NY",42.6012,-76.1805
18700,"Corvallis, OR","Corvallis, OR",44.5646,-123.262
18740,"Coshocton, OH","Coshocton, OH",40.2728,-81.8604
18780,"Craig, CO","Craig, CO",40.5153,-107.5469
18820,"Crawfordsville, IN","Crawfordsville, IN",40.0414,-86.8742
18860,"Crescent City, CA","Crescent City, CA",41.7558,-124.2026
18880,"Crestview-Fort Walton Beach-Destin, FL","Crestview, FL",30.7621,-86.5705
18900,"Crossville, TN","Crossville, TN",35.9484,-85.0269
18980,"Cullman, AL","Cullman, AL",34.1748,-86.8436
19000,"Cullowhee, NC","Cullowhee, NC",35.3134,-83.176
19060,"Cumberland, MD-WV","Cumberland, MD",39.6529,-78.7625
19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",32.7767,-96.797
19140,"Dalton, GA","Dalton, GA",34.7698,-84.9702
19180,"Danville, IL","Danville, IL",40.1245,-87.6301
19220,"Danville, KY","Danville, KY",37.6456,-84.7722
19260,"Danville, VA","Danville, VA",36.5859,-79.395
