STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,County,ORIG_FID,MBG_Width,MBG_Length,MBG_APodX1,MBG_APodY1,MBG_APodX2,MBG_APodY2,MBG_Orientation,Shape_Length,Shape_Area
,,,,,,,,,,,,,,,,,,1,1152442.525486235274002,39954677.000398911535740,-19944953.625300001353025,6670079.043700002133846,20009534.806599996984005,6792832.256999999284744,89.823969241240249,80558829.996862620115280,28487689203745.875000000000000
02,290,01419987,02290,Yukon-Koyukuk,Yukon-Koyukuk Census Area,05,H5,G4020, , , ,S,376855923315.000000000000000,5956675130.000000000000000,+65.3757158,-151.5778778,290.0000000,2,1454298.930897934827954,2823814.941325894556940,-17912861.535900000482798,8847149.445100001990795,-15696348.096499999985099,10596720.534199997782707,51.714740916905939,6683682.391729263588786,2794990769055.582519531250000
02,185,01419978,02185,North Slope,North Slope Borough,04,H1,G4020, , , ,A,229720513924.000000000000000,15801027072.000000000000000,+69.4493427,-153.4728302,185.0000000,3,1088423.352389720967039,2906160.164154839236289,-18573745.714699998497963,10546511.759599998593330,-15696345.651599999517202,10954354.592799998819828,81.932631958297108,6660825.066384024918079,2194259643839.988281250000000
02,188,01419979,02188,Northwest Arctic,Northwest Arctic Borough,04,H1,G4020, , , ,A,92638195354.000000000000000,12901066002.000000000000000,+67.0050655,-160.0210864,188.0000000,4,812843.871808445896022,1299190.883510815678164,-18408202.249400001019239,10455379.485200002789497,-17165704.149300001561642,10075780.455899998545647,106.988580870831228,3474401.914134537335485,808655612738.517700195312500
02,240,01419983,02240,Southeast Fairbanks,Southeast Fairbanks Census Area,05,H5,G4020, , , ,S,64150204972.000000000000000,752764069.000000000000000,+63.8649972,-143.2186282,240.0000000,5,668020.601200804580003,1001730.195716145681217,-15788292.875199999660254,8835713.397900000214577,-15696322.604399999603629,9833212.698299996554852,5.267825288513976,2770231.052914615720510,427650999530.931884765625000
02,090,01419969,02090,Fairbanks North Star,Fairbanks North Star Borough,04,H1,G4020, ,21820, ,A,19006935676.000000000000000,272298859.000000000000000,+64.6923172,-146.6017326,90.0000000,6,297944.546053529309575,546810.072112118592486,-16547885.428100001066923,9500452.888300001621246,-16017182.112300001084805,9632192.197400003671646,76.058956947649364,1399151.988236309727654,125616632113.633422851562500
02,068,01419988,02068,Denali,Denali Borough,04,H1,G4020, , , ,A,33026406704.000000000000000,66068782.000000000000000,+63.6811063,-150.0265438,68.0000000,7,347593.328184428741224,769307.950898739742115,-17032031.148099999874830,9033728.387500002980232,-16364319.699099998921156,9415822.805399999022484,60.219875528421554,1844224.365699658868834,197969509066.622772216796875
02,180,01419977,02180,Nome,Nome Census Area,05,H5,G4020, , , ,S,59470568256.000000000000000,13767980127.000000000000000,+64.7836858,-164.1889119,180.0000000,8,941642.590536186937243,1486157.114276033826172,-19126950.846400000154972,9206315.793899998068810,-17742847.619100000709295,9747537.767300002276897,68.643151145758921,3815438.853197103366256,974809946320.033325195312500
02,170,01419976,02170,Matanuska-Susitna,Matanuska-Susitna Borough,04,H1,G4020, ,11260, ,A,63735012963.000000000000000,1682052438.000000000000000,+62.2790749,-149.6175617,170.0000000,9,500266.774906371720135,878093.092298378120176,-17032124.879200000315905,8724228.906199999153614,-16307141.110700000077486,9219653.990500003099442,55.652851573182829,2244917.659930782392621,327280507122.081054687500000
02,020,01416061,02020,Anchorage,Anchorage Municipality,12,H6,G4020, ,11260, ,C,4415620140.000000000000000,663632140.000000000000000,+61.1742503,-149.2843294,20.0000000,10,167256.872025631688302,214345.719959101290442,-16729281.452800000086427,8655097.095799997448921,-16526492.382400000467896,8724528.217000000178814,71.099771429371515,604933.484938819659874,24000141531.077720642089844
