cbsa_code,cbsa,ccity,x_ccity,y_ccity,ttract,tcc,tel70,tel80,tel90,tel00,tel12,tgent80,tgent90,tgent00,tgent12,tgent22,mamhi70,mamhi80,mamhi90,mamhi00,mamhi12,mamhi22,mamhv70,mamhv80,mamhv90,mamhv00,mamhv12,mamhv22,apctcol70,apctcol80,apctcol90,apctcol00,apctcol12,apctcol20,pop70,pop80,pop90,pop00,pop10,pop20,popchg80,popchg90,popchg00,popchg10,popchg20,nhwht70,nhwht80,nhwht90,nhwht00,nhwht10,nhwht20,cw80,cw90,cw00,cw10,cw20,nhblk70,nhblk80,nhblk90,nhblk00,nhblk10,nhblk20,cb80,cb90,cb00,cb10,cb20,asian70,asian80,asian90,asian00,asian10,asian20,ca80,ca90,ca00,ca10,ca20,hisp70,hisp80,hisp90,hisp00,hisp10,hisp20,ch80,ch90,ch00,ch10,ch20
46520,"Urban Honolulu, HI","Urban Honolulu, HI",-157.8583,21.3069,244,94,5,22,15,36,38,0,4,0,1,4,66070.14846,63375.11993,76674.558259999991,69533.579999999987,74341.89,110545.0,325125.00015,380484.6362,658981.00195,445058.2152,651105.0,895150.0,0.16527491613095238,0.22656895019101123,0.26615575187777779,0.2985575666,0.35183673387777775,0.37958555555555556,620058,754194,831524,876159,953207,1016369,132525,77326,44632,71038,63096,247522,231555,246148,175634,181684,175447,-16165,14566,-70514,5042,-6245,6947,15503,24031,27136,28575,32936,8273,8519,3099,927,4347,345044,456113,499862,600617,652002,698769,109807,43749,100756,47697,46722,3986,54141,56561,58735,77433,92310,50009,2430,2166,17927,14828
33100,"Miami-Fort Lauderdale-Pompano Beach, FL","Miami, FL",-80.1918,25.7617,1219,305,98,128,120,105,91,5,10,17,11,13,53753.45414,49219.519655,57907.69964,58806.8,52690.68,70900.0,143734.2614,192851.55935,200365.0722,178278.0014,268380.0,405400.0,0.11772672787452472,0.16718556015916955,0.20061762957704918,0.25409809519736842,0.3065328233442623,0.33470524590163936,2236254,3220451,4055976,5007562,5564635,6137530,984213,835539,951586,534760,572874,1645106,2079327,2209249,2205933,1937939,1785353,434221,129920,-3328,-274501,-152604,328099,457154,659585,961553,1137108,1220824,117158,200717,301882,173640,83647,6434,19343,49135,98796,141246,184563,10971,29153,49356,41765,43064,253273,649782,1128446,1704058,2312929,2815055,396509,478645,575610,595163,502120
45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa, FL",-82.4572,27.9506,746,206,62,83,87,79,65,2,3,13,8,7,50622.59155,45337.899164999995,54159.930055000004,58203.0788,52819.2,66813.5,94631.59341,117305.72164999999,140739.99945,129258.0,180999.0,277582.5,0.0910417239489796,0.1354636593316583,0.17919796581862746,0.218858816627451,0.26823424876960783,0.29975245098039216,1012385,1568568,2067834,2395996,2783243,3175205,362536,398147,328160,379549,391937,881945,1333168,1719177,1821960,1879437,1888677,267197,292324,102776,52407,9233,109386,143213,181255,248046,333068,401871,25081,33747,66454,82274,68766,2414,7339,22185,53331,95610,150592,4368,14183,31002,41483,54957,18017,79397,139235,248639,452208,651986,56673,56896,109364,202330,199767
41700,"San Antonio-New Braunfels, TX","San Antonio, TX",-98.4936,29.4241,457,283,85,109,118,122,121,0,4,1,6,16,53550.0,53708.32677,57971.25923,57494.44,48736.8,54750.0,88427.41809,105171.1164,132173.7505,113692.0,130032.0,184800.0,0.10119735797175142,0.17849689325291829,0.19829092249466193,0.21233273360854094,0.22111625661565837,0.23430213523131674,864019,1071961,1407746,1711700,2142508,2558129,171470,230145,303958,430808,415620,670497,505008,641562,696319,773807,838669,-192696,71835,54753,77488,64862,59417,71486,85719,107949,140948,190048,8834,13519,22094,32998,49094,3678,7738,14555,29428,54604,93888,2879,6470,14791,25128,39000,124692,481508,660104,863161,1158148,1389677,348083,138772,203059,294987,231528
26420,"Houston-The Woodlands-Sugar Land, TX","Houston, TX",-95.3698,29.7604,1072,514,156,178,183,215,203,5,22,12,22,18,76028.431955000007,66963.03979,60008.584975,61984.02394,53160.66,73215.0,120641.21165,178941.9169,135065.0023,125129.9991,141687.0,240650.0,0.17596119031234866,0.24745270290396659,0.25518830109561752,0.26579303789840636,0.28148680077888444,0.30897529880478086,2180444,3136637,3750773,4693128,5920416,7122060,938464,614136,942357,1227288,1201644,1663252,2050435,2179150,2256827,2340268,2399747,372906,128707,77685,83441,59479,425617,564447,654768,797098,1027083,1279977,126684,90216,142325,228946,252894,9992,53071,126954,246446,415667,641528,31820,73071,119294,168588,225853,75304,450033,775539,1352387,2096532,2669404,374294,325310,576843,744015,572872
35380,"New Orleans-Metairie, LA","New Orleans, LA",-90.0715,29.9511,405,232,64,78,68,77,62,2,9,5,14,16,60451.62835,52227.47784,49765.2099,53222.718485000005,49512.96,55188.0,150746.71,186337.9133,152316.99795,162517.2048,221067.0,259999.5,0.12645851642922373,0.19640854201801802,0.23546060896428572,0.27099581225,0.31252148365178573,0.35518928571428571,1045579,1249904,1285134,1337744,1189866,1271696,141048,-19542,52603,-147882,80792,708672,783515,762771,731521,639356,614747,28565,-52887,-31256,-92165,-24628,323755,397616,442912,503730,411702,437107,56455,23868,60674,-92032,24422,3249,13866,20770,31685,35568,44569,9718,6547,10834,3866,8916,8855,49900,53915,58544,92178,146912,39614,2948,4627,33633,54702
13140,"Beaumont-Port Arthur, TX","Beaumont, TX",-94.1266,30.0802,105,51,19,27,28,28,27,0,1,0,2,1,61652.418699999995,56185.51993,45486.25964,47676.68,42187.32,48906.0,79333.190125,80231.1199,79449.9995,69660.0,88200.0,98400.0,0.1176295557,0.14610468811764707,0.151501640372549,0.1522488794509804,0.15819718719607842,0.16218235294117647,315244,374935,361170,385088,388745,397556,18970,-13764,23921,3572,8811,244144,277182,255441,246499,228486,207916,-2912,-21745,-8936,-18067,-20570,67447,80927,83963,95973,96684,98965,9200,2961,11943,706,2225,481,3128,5468,8664,10555,12852,2572,2342,3102,1870,2277,2899,12532,15239,30831,50049,69591,9061,2708,15593,19207,19542
12420,"Austin-Round Rock-Georgetown, TX","Austin, TX",-97.7431,30.2672,350,197,58,52,58,71,60,4,7,5,18,16,49200.603789999994,60585.28165,63981.724350000004,74622.528530000011,64731.87,92026.5,121081.19915,168480.8825,163900.45020000002,190490.0,226674.0,468760.0,0.186905916925,0.29935739755974844,0.33503351116666669,0.37945776283854166,0.42587450308333336,0.4702734375,295515,536683,846239,1249780,1716289,2283423,124061,244887,403538,466509,566574,251222,383953,570884,758323,938474,1133156,43837,146726,187430,180151,194496,32262,49520,76642,101513,130764,175132,11295,20062,24869,28653,44194,984,4644,18236,49377,93678,191269,2275,13080,31112,43162,97589,9189,94370,176867,327762,538313,728030,63468,65582,150889,210551,189521
27260,"Jacksonville, FL","Jacksonville, FL",-81.6557,30.3322,262,162,45,49,66,68,66,5,1,3,8,4,61854.276195,57311.80206,65360.967855,68102.54074,56582.19,67729.5,90593.156045000011,115822.1239,145745.7677,135119.73455,180306.0,237100.0,0.091414236075187977,0.14907758730666668,0.18501747733333335,0.20233911348765432,0.22961501605555557,0.25118271604938269,519117,735361,919833,1122749,1345596,1605817,49765,184478,202921,222847,260221,396795,557109,699237,793673,885040,953434,15437,142120,94434,91367,68394,117507,156311,181109,244292,299323,360533,19671,24548,63179,55031,61210,2251,6698,14326,30631,55789,84498,3584,7582,16296,25150,28696,2143,13230,22324,42541,92879,163852,8203,9096,20210,50338,70973
12940,"Baton Rouge, LA","Baton Rouge, LA",-91.1871,30.4515,157,57,21,26,24,28,26,0,3,1,0,2,66398.07892,50115.63964,47572.38989,44971.12,43938.72,43374.0,134290.7572,172085.4258,132113.9989,123496.0,162792.0,184109.0,0.2094835535090909,0.26347870314285715,0.27668602492982458,0.29854023312280703,0.30607581815789475,0.30822631578947368,301961,494056,646571,729346,825905,870535,83260,34174,82776,96559,44630,211035,344560,422506,453692,480750,466924,41833,13587,31187,27058,-13826,89034,136297,208016,249094,296083,310902,31844,19635,41067,46989,14819,491,2603,5699,10323,16193,21264,1822,2923,4548,5864,5068,1028,8423,9006,11866,27855,55179,5660,-909,2859,15989,26900
