cbsa_code,cbsa,top5_80,top5_90,top5_00,top5_10,top5_20
00000,Nationwide,"Capitol Hill (Washington, DC) | Park Slope (New York, NY) | Lake View (Chicago, IL) | South End (Boston, MA) | Southeast Boise (Boise City, ID)","Greater Heights (Houston, TX) | Astoria (New York, NY) | Lake View (Chicago, IL) | Bucktown (Chicago, IL) | Roscoe Village (Chicago, IL)","Logan Square (Chicago, IL) | Bedford Stuyvesant (New York, NY) | Williamsburg (New York, NY) | West Town (Chicago, IL) | Bronzeville (Chicago, IL)","Bushwick (New York, NY) | Bedford Stuyvesant (New York, NY) | Crown Heights (New York, NY) | Williamsburg (New York, NY) | Harlem (New York, NY)","South Los Angeles (Los Angeles, CA) | Maryvale (Phoenix, AZ) | Central City (Phoenix, AZ) | Southeast Los Angeles (Los Angeles, CA) | Bushwick (New York, NY)"
10100,"Aberdeen, SD",,,,,
10140,"Aberdeen, WA",,,,,
10180,"Abilene, TX",Abilene Heights | Overplace | Sears Park | Chimney Rock | Elmwood,Buck Creek | Chimney Rock | Sears Park | Abilene Heights | Elmwood,Abilene Heights | Overplace | Sears Park | Chimney Rock | Elmwood,Abilene Heights | Overplace | Sears Park | Chimney Rock | Elmwood,Sears Park | Cobb Park | South Treadaway | Chimney Rock | Elmwood
10220,"Ada, OK",,,,,
10300,"Adrian, MI",,,,,
10380,"Aguadilla-Isabela, PR",,,,,
10420,"Akron, OH",Firestone Park | Northwest Akron | Goodyear Heights | Highland Square | Ellet,Firestone Park | Northwest Akron | Goodyear Heights | Highland Square | Ellet,Firestone Park | Northwest Akron | Goodyear Heights | Highland Square | Ellet,Ellet | Lane-Wooster | Goodyear Heights | Firestone Park | Highland Square,University of Ohio Akron | Summit Lake | West Akron | Elizabeth Park Valley | Ellet
10460,"Alamogordo, NM",,,,,
10500,"Albany, GA",,,,,
10540,"Albany-Lebanon, OR",Sunrise | Willamette | Perwinkle | Jackson Hill | Santiam,Sunrise | Willamette | Perwinkle | Jackson Hill | Santiam,Sunrise | Willamette | Perwinkle | Jackson Hill | Santiam,Sunrise | Willamette | Perwinkle | Jackson Hill | Santiam,Sunrise | Jackson Hill | Willamette | Perwinkle | Santiam
10580,"Albany-Schenectady-Troy, NY",Normanskill | Campus Area (University District) | Whitehall | Helderberg | New Scotland,Hudson/Park | Pine Hills | Normanskill | Helderberg | New Scotland,Normanskill | Campus Area (University District) | Whitehall | Helderberg | New Scotland,South Central | Central Avenue | Normanskill | Helderberg | New Scotland,Vale and Hamilton Hill | North Central | Normanskill | Helderberg | New Scotland
10620,"Albemarle, NC",,,,,
10660,"Albert Lea, MN",,,,,
10700,"Albertville, AL",,,,,
